Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Confidence),Custom field (Confidence),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Designs ready),Custom field (Designs ready),Custom field (Designs ready),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Effort),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea category),Custom field (Idea category),Custom field (Idea category),Custom field (Idea short description),Custom field (Idea short description),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Impact score),Custom field (Impact score),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project start),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (Project target),Custom field (Project target),Custom field (RICE score),Custom field (RICE score),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Reach),Custom field (Reach),Custom field (Request Type),Custom field (Roadmap),Custom field (Roadmap),Custom field (Roadmap),Custom field (Roadmap),Custom field (Sentiment),Custom field (Spec ready),Custom field (Spec ready),Custom field (Spec ready),Custom field (Spec ready),Sprint,Sprint,Custom field (Stage),Custom field (Stage),Custom field (Stage),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target quarter),Custom field (Target quarter),Custom field (Target quarter),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value),Custom field (Value),Custom field (Value),Custom field (Value),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Epic 1: Project Setup & Jira Management,CPB-1,10289,Epic,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 9:55 AM,15/Sep/25 1:43 PM,,15/Sep/25 1:43 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c3eb154,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,To Do,,,,,,,,,,,,,,,,,,,,,,dark_yellow,,,,,,,,,,,,,,,,,0|i000pz:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_146519644_*|*_10097_*:*_2_*:*_2469476,,,,Done,15/Sep/25 1:43 PM
Epic 2: GitHub Workflow,CPB-2,10290,Epic,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 9:56 AM,15/Sep/25 3:44 AM,15/Sep/25 3:24 AM,15/Sep/25 3:44 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4dbeeaaa,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,To Do,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,,,,,,,0|i000q7:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10061_*:*_2_*:*_139269117_*|*_10097_*:*_3_*:*_9683830,,,,Done,15/Sep/25 3:44 AM
Epic 3: Jenkins CI/CD,CPB-3,10291,Epic,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:03 AM,15/Sep/25 1:43 PM,15/Sep/25 2:33 AM,15/Sep/25 1:43 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@31f1d301,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-12,,To Do,,,,,,,,,,,,,,,,,,,,,,grey,,,,,,,,,,,,,,,,,0|i000qf:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_185989630,,,,Done,15/Sep/25 1:43 PM
Epic 4: Docker Deployment,CPB-4,10292,Epic,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:04 AM,15/Sep/25 12:27 PM,,15/Sep/25 12:27 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ce3a4f7,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-4,,To Do,,,,,,,,,,,,,,,,,,,,,,dark_blue,,,,,,,,,,,,,,,,,0|i000qn:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_181412270,,,,Done,15/Sep/25 12:27 PM
Epic 5: Kubernetes (EKS) Deployment,CPB-5,10293,Epic,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:04 AM,15/Sep/25 12:31 PM,,15/Sep/25 12:31 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@183c007b,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-13,,To Do,,,,,,,,,,,,,,,,,,,,,,dark_green,,,,,,,,,,,,,,,,,0|i000qv:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_181597557,,,,Done,15/Sep/25 12:31 PM
Epic 6: Monitoring & Observability,CPB-6,10294,Epic,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:05 AM,15/Sep/25 12:36 PM,,15/Sep/25 12:36 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@14795478,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,To Do,,,,,,,,,,,,,,,,,,,,,,dark_yellow,,,,,,,,,,,,,,,,,0|i000r3:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_181851543,,,,Done,15/Sep/25 12:36 PM
Epic 7: Final Deliverables,CPB-7,10295,Epic,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:06 AM,15/Sep/25 1:42 PM,,15/Sep/25 1:42 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ed466c6,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-14,,To Do,,,,,,,,,,,,,,,,,,,,,,dark_orange,,,,,,,,,,,,,,,,,0|i000rb:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_185776433,,,,Done,15/Sep/25 1:42 PM
Task 1.1: Create Jira Board,CPB-8,10297,Task,To Do,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:07 AM,15/Sep/25 1:47 PM,15/Sep/25 3:25 AM,,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54e3af15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000rj:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,,10289,CPB-1,Epic 1: Project Setup & Jira Management,To Do,15/Sep/25 3:25 AM
Create a new Scrum board for Book-My-Show DevOps Project,CPB-10,10301,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:08 AM,15/Sep/25 1:54 PM,,15/Sep/25 3:32 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f398e9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000rz:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_146960387_*|*_10097_*:*_2_*:*_1437059,10297,CPB-8,Task 1.1: Create Jira Board,Done,15/Sep/25 3:32 AM
2. Define workflow columns (To Do → In Progress → Done),CPB-11,10303,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:08 AM,15/Sep/25 1:54 PM,,15/Sep/25 3:32 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e203f2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000s7:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_146953565_*|*_10097_*:*_2_*:*_1430665,10297,CPB-8,Task 1.1: Create Jira Board,Done,15/Sep/25 3:32 AM
"Task 1.2: Create Epics, Tasks & Subtasks",CPB-9,10299,Task,To Do,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:07 AM,15/Sep/25 1:47 PM,15/Sep/25 3:25 AM,,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@275da83a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000rr:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,,10289,CPB-1,Epic 1: Project Setup & Jira Management,To Do,15/Sep/25 3:25 AM
"1. Add Epics for each major phase (GitHub, Jenkins, Docker, Kubernetes, Monitoring).",CPB-12,10305,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:09 AM,15/Sep/25 1:55 PM,,15/Sep/25 3:32 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1983e047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000sf:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_146597663_*|*_10097_*:*_2_*:*_1763438,10299,CPB-9,"Task 1.2: Create Epics, Tasks & Subtasks",Done,15/Sep/25 3:32 AM
2. Add Tasks under Epics with subtasks.,CPB-13,10307,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:09 AM,15/Sep/25 1:55 PM,,15/Sep/25 3:32 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1455c447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000sn:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_146598788_*|*_10097_*:*_2_*:*_1761577,10299,CPB-9,"Task 1.2: Create Epics, Tasks & Subtasks",Done,15/Sep/25 3:32 AM
Task 2.1: Repository Setup,CPB-14,10309,Task,To Do,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:40 AM,15/Sep/25 1:47 PM,15/Sep/25 3:23 AM,,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b76cd0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000sv:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,,10290,CPB-2,Epic 2: GitHub Workflow,To Do,15/Sep/25 3:24 AM
1. Clone repo,CPB-16,10313,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:40 AM,15/Sep/25 3:33 AM,15/Sep/25 3:37 AM,15/Sep/25 3:33 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d721f23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000sz:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_139285206_*|*_10061_*:*_1_*:*_5734122_*|*_10097_*:*_2_*:*_1477830,10309,CPB-14,Task 2.1: Repository Setup,Done,15/Sep/25 3:33 AM
2. Create feature branch.,CPB-17,10315,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:40 AM,15/Sep/25 3:33 AM,,15/Sep/25 3:33 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f61626a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000t1:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_139288844_*|*_10097_*:*_2_*:*_7206800,10309,CPB-14,Task 2.1: Repository Setup,Done,15/Sep/25 3:33 AM
3. Push changes & raise PR.,CPB-18,10317,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:41 AM,15/Sep/25 3:44 AM,13/Sep/25 12:41 PM,15/Sep/25 3:44 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e2b42f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000t2:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_138362970_*|*_10061_*:*_2_*:*_887639_*|*_10097_*:*_2_*:*_7878233,10309,CPB-14,Task 2.1: Repository Setup,Done,15/Sep/25 3:44 AM
Task 2.2: Code Collaboration,CPB-15,10311,Task,To Do,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:40 AM,15/Sep/25 1:47 PM,13/Sep/25 11:03 AM,,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@31538871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000t3:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,,10290,CPB-2,Epic 2: GitHub Workflow,To Do,13/Sep/25 11:05 AM
1. Peer review PR,CPB-19,10319,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 11:02 AM,15/Sep/25 3:44 AM,,15/Sep/25 3:44 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1cf06e90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000tz:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_146533540,10311,CPB-15,Task 2.2: Code Collaboration,Done,15/Sep/25 3:44 AM
